gene	aRRA	aRRA p_value	aRRA FDR	significant	# sgRNAs	# signif. sgRNAs	avg. logFC
HBEGF	5.20031492643e-09	0.0	0.0	True	6	5	4.92027494056
DEPDC4	3.05861734069e-07	0.0	0.0	True	6	3	2.72167682051
ITGA7	1.15528205651e-06	0.0	0.0	True	6	4	2.60134325336
BCR	3.753912922e-06	0.0	0.0	True	6	3	1.95025912516
PRAMEF1	3.86114172627e-06	0.0	0.0	True	6	2	2.51819834496
STEAP4	4.16600507755e-06	0.0	0.0	True	6	4	2.45881269347
PIWIL3	4.16600507755e-06	0.0	0.0	True	6	4	3.16665399576
ERC2	4.72926008512e-06	0.0	0.0	True	6	3	1.75657513272
FMO4	5.05613000418e-06	0.0	0.0	True	6	2	1.36647432235
ZMYM3	5.11494481381e-06	0.0	0.0	True	6	5	3.30438584004
OR4P4	5.32451689279e-06	0.0	0.0	True	6	3	2.37643716658
GRK7	7.17191584305e-06	0.002	0.842884615385	False	6	2	1.56673525712
GALNT13	7.17191584305e-06	0.002	0.842884615385	False	6	3	1.8847016821
PRDM13	8.1030054047e-06	0.002	0.842884615385	False	6	1	0.813533671252
MAPK10	9.6618953626e-06	0.002	0.842884615385	False	6	3	3.01951841596
GH1	1.0416081822e-05	0.002	0.842884615385	False	6	4	1.76366867795
PQLC2	1.04816056175e-05	0.002	0.842884615385	False	6	5	2.65521843163
SPEN	1.33826230962e-05	0.002	0.842884615385	False	6	3	1.05934135199
TAS2R4	1.34883444276e-05	0.002	0.842884615385	False	6	4	2.2650078269
HAUS2	1.38453186666e-05	0.002	0.842884615385	False	6	4	2.68225051424
SLC35B2	1.62060108094e-05	0.002	0.842884615385	False	6	1	0.813930856194
PKD2L1	1.70778269827e-05	0.002	0.842884615385	False	6	2	0.272917602093
KDM2B	1.97167428458e-05	0.002	0.842884615385	False	6	3	1.56632282536
MOGAT1	2.14824749847e-05	0.003	0.842884615385	False	6	3	0.994438782255
RIBC1	2.46725027584e-05	0.003	0.842884615385	False	6	2	1.57428805493
NEURL4	2.52699192628e-05	0.003	0.842884615385	False	6	3	1.88014854889
FAM177A1	2.5688981455e-05	0.003	0.842884615385	False	6	2	1.30296632727
RP1	2.67678851573e-05	0.003	0.842884615385	False	6	2	0.737513100653
APAF1	3.14415860832e-05	0.003	0.842884615385	False	6	2	0.679640194028
INHA	3.14415860832e-05	0.003	0.842884615385	False	6	2	1.21197019721
AKIRIN1	3.24120216188e-05	0.003	0.842884615385	False	6	2	1.14359719174
OR3A2	3.37065025023e-05	0.003	0.842884615385	False	6	4	2.66385925044
PLEKHM2	3.3929673806e-05	0.003	0.842884615385	False	6	3	1.81258365631
LIN37	3.48090255766e-05	0.003	0.842884615385	False	6	3	1.91714332371
PARN	3.69330168311e-05	0.003	0.842884615385	False	6	2	0.0229562959351
HDLBP	3.95864166012e-05	0.003	0.842884615385	False	6	3	1.65969885689
GRM1	3.95864166012e-05	0.003	0.842884615385	False	6	3	1.67944460488
ZNF154	3.95864166012e-05	0.003	0.842884615385	False	6	3	1.13550176922
TCP11L2	3.95864166012e-05	0.003	0.842884615385	False	6	4	1.61756297589
CNEP1R1	3.95864166012e-05	0.003	0.842884615385	False	6	4	1.70875987474
HOXC11	3.95864166012e-05	0.003	0.842884615385	False	6	3	1.98625790184
IQGAP3	4.05150270235e-05	0.003	0.842884615385	False	6	1	0.488700672474
INPP5D	4.49355202479e-05	0.003	0.842884615385	False	6	3	0.343726226135
KRTAP25-1	4.53959139665e-05	0.003	0.842884615385	False	6	2	1.40316355041
OR4K5	4.53959139665e-05	0.003	0.842884615385	False	6	2	1.3602951438
H2AFY2	4.78539543238e-05	0.003	0.842884615385	False	6	3	1.45458787785
SBSPON	4.86174415e-05	0.003	0.842884615385	False	6	2	0.832091074725
CLEC1A	4.9851677336e-05	0.003	0.842884615385	False	6	3	1.34061360055
KIAA2022	4.98846117177e-05	0.003	0.842884615385	False	6	5	2.95266387983
RSAD1	5.00825226646e-05	0.003	0.842884615385	False	6	3	1.84087884601
GLP1R	5.12513565283e-05	0.003	0.842884615385	False	6	2	1.26117726823
ZNF75A	5.37761139735e-05	0.003	0.842884615385	False	6	3	1.55504042833
SLIT2	5.67210378329e-05	0.003	0.842884615385	False	4	1	0.292573866738
CLVS1	5.89489597491e-05	0.003	0.842884615385	False	6	3	0.87809604566
MAK16	6.19439019185e-05	0.003	0.842884615385	False	6	4	2.19480592417
KRTAP6-1	6.26089978642e-05	0.003	0.842884615385	False	6	2	-0.0356770369541
MRPL54	6.48240432376e-05	0.003	0.842884615385	False	6	1	0.0217128665591
ALPK1	6.95896991681e-05	0.003	0.842884615385	False	6	2	1.24989903088
GPSM1	7.60180631016e-05	0.003	0.842884615385	False	6	2	1.04603162952
OR8K1	8.1030054047e-05	0.003	0.842884615385	False	6	2	0.755622508309
hsa-mir-1208	8.38395896741e-05	0.003	0.842884615385	False	4	2	1.57565318904
ZNF81	8.5030901065e-05	0.003	0.842884615385	False	6	2	1.22667929102
ACKR4	8.5030901065e-05	0.003	0.842884615385	False	6	2	1.31901637191
SULT1C4	8.66710782866e-05	0.003	0.842884615385	False	6	3	1.34814861427
SLC27A4	8.86377124714e-05	0.003	0.842884615385	False	6	3	1.72001035414
EPHB4	8.91330594518e-05	0.003	0.842884615385	False	6	2	0.989163751548
ADRA1A	9.22125105596e-05	0.003	0.842884615385	False	6	4	2.32908540427
EN2	9.22125105596e-05	0.003	0.842884615385	False	6	4	1.26718964181
MRI1	9.2901162805e-05	0.003	0.842884615385	False	6	2	1.41663278549
GALNT1	9.2901162805e-05	0.003	0.842884615385	False	6	2	0.940783038323
CYP39A1	9.2901162805e-05	0.003	0.842884615385	False	6	3	1.41973740763
UPB1	9.59076191351e-05	0.003	0.842884615385	False	6	3	0.762810548085
NUDT2	9.72337011434e-05	0.003	0.842884615385	False	6	2	1.42118103134
MSRA	0.000106151219094	0.003	0.842884615385	False	6	2	1.47523029868
C15orf39	0.000107006184745	0.003	0.842884615385	False	6	3	1.32075244389
DCAF13	0.000107225497096	0.003	0.842884615385	False	6	3	1.14584016081
DGCR8	0.000107610014394	0.003	0.842884615385	False	6	3	1.73322447855
B3GAT3	0.000109601698502	0.003	0.842884615385	False	6	2	1.0611309014
FOXF1	0.000120195400903	0.004	0.842884615385	False	6	2	1.01344883578
PRR15L	0.000120195400903	0.004	0.842884615385	False	6	2	0.849489361467
PTAFR	0.000120195400903	0.004	0.842884615385	False	6	2	1.33121153005
CSGALNACT2	0.000120195400903	0.004	0.842884615385	False	6	2	-0.515211936259
ETV5	0.000126494367961	0.004	0.842884615385	False	6	2	-0.342053209319
PCDHGA1	0.000129648086475	0.004	0.842884615385	False	6	1	0.625359465131
EXT2	0.000131463483777	0.004	0.842884615385	False	6	2	0.613640735909
